para;2250
programa;881
scratch;844
inkscape;733
writer;703
este;586
como;567
freecad;545
youtube;527
arduino;522
lista;477
imagen;464
puede;454
wiki;442
siguiente;441
tensión;437
formato;435
dibujo;425
logo;405
control;396
esta;395
texto;395
tutorial;357
datos;356
número;356
circuito;354
python;354
download;353
electric;345
función;344
embed;342
nocookie;342
objeto;339
sistema;329
cada;327
electronic;319
hasta;316
wikipedia;316
corriente;314
static;312
figure;296
código;293
resistencia;292
ejemplo;290
entre;288
pueden;286
botón;284
nuevo;282
todos;281
blockscad;277
informatica;276
salida;274
vamos;274
cuando;273
pulsador;270
valor;264
está;263
tecla;263
tiempo;260
color;259
tiene;257
wikimedia;255
button;254
recursos;252
debe;250
print;246
code;243
continuación;242
ahora;238
redes;238
ejercicios;234
pulsamos;233
serie;233
desde;232
ejercicio;231
página;225
seleccionamos;222
variable;222
index;221
picuino;221
siguientes;221
crear;218
también;218
ordenador;217
sensor;217
entrada;214
mayor;213
vídeo;213
energía;211
editor;209
segundo;208
pantalla;207
tamaño;200
forma;198
nombre;197
realizar;197
resultado;197
esquema;196
mecan;196
test;193
solo;192
derecha;191
figura;191
menor;191
podemos;188
números;184
sobre;183
tipo;183
será;182
menú;181
aulaclic;180
posición;177
secuencias;177
verde;177
serial;176
anterior;173
include;170
escribe;166
señal;166
placa;165
middle;164
transistor;164
file;163
primero;161
tres;161
material;159
thumbs;157
funcionamiento;156
válvula;155
void;151
materiales;150
velocidad;150
error;149
permite;149
ardublock;148
pero;147
gimp;143
ledes;143
utiliza;143
caso;142
componentes;141
similarweb;141
utilizar;141
bornas;140
base;138
seleccionar;138
bloque;137
distancia;137
programas;136
gato;135
list;135
tabla;135
taller;135
temperatura;135
valores;135
dibuja;134
target;134
izquierda;133
circuitos;132
creativecommons;132
hacia;131
documento;130
final;130
table;130
barra;128
calc;128
elementos;128
simple;128
imágenes;127
motor;127
licenses;126
pract;125
punto;124
unidad;124
herramienta;123
display;122
presión;122
resistencias;122
sonido;122
tecnología;122
aire;121
amplificador;121
downloads;121
otra;121
otro;121
colores;120
cubo;120
dentro;120
estos;119
software;119
pestaña;118
pieza;118
linenos;116
manera;116
math;115
neumatic;115
paralelo;115
parte;115
puntos;114
voltios;113
boton;112
escribir;112
crocodile;111
memoria;111
elemento;110
último;110
digital;109
fondo;109
igual;109
línea;109
nueva;109
bloques;108
cambiar;108
potencia;108
icono;107
eléctrica;106
logotipo;106
prog;106
blogspot;105
hacer;105
palabra;105
esto;104
programar;104
vistas;103
diodo;102
herramientas;102
necesario;102
letra;101
porque;101
tienen;101
tocdepth;101
todo;101
varios;101
añadir;100
información;100
bits;99
block;99
efecto;99
están;99
librería;99
tener;99
library;98
madera;98
medio;98
segundos;98
superior;98
ejemplos;97
presionado;97
ratón;97
todas;97
cilindro;96
entorno;96
programación;96
veces;96
piezas;95
cambiamos;94
eléctrico;94
otros;94
cero;93
docs;93
encendido;93
ledwrite;93
rojo;93
dispositivos;92
enciende;92
milímetros;92
primer;92
bandera;91
errores;91
hardware;91
objetos;91
poco;91
fuerza;90
subs;90
variables;90
conexión;89
juego;89
medida;89
partir;89
projects;89
deed;88
define;88
tanto;87
alimentación;86
calcular;86
cómo;86
después;86
inicio;86
archivo;85
derecho;85
durante;85
encender;85
frecuencia;84
operativo;84
usuario;84
licencia;83
transistores;82
diferentes;81
poder;81
respuesta;81
según;81
height;80
ordenadores;80
dibujar;79
dimensiones;79
modifica;79
mucho;79
actividades;78
functions;78
keypressed;78
libre;78
reto;78
website;78
bajo;77
resolver;77
alzado;76
aparece;76
devuelve;76
espera;76
mientras;76
note;76
presionar;76
utilizan;76
añadimos;75
conseguir;75
estado;75
ganancia;75
mover;75
movimiento;75
paso;75
time;75
almacenamiento;74
círculo;74
estas;74
luego;74
líneas;74
setup;74
varias;74
delay;73
funciones;73
loop;73
pulsar;73
screenshot;73
azul;72
doble;72
escala;72
hola;72
lado;72
misma;72
momento;72
nivel;72
personaje;72
segmentos;72
versión;72
deben;71
pista;71
precio;71
símbolo;71
overview;70
propiedades;70
pulsadores;70
visitas;70
bien;69
frase;69
modificar;69
rank;69
screenshots;69
menos;68
primera;68
range;68
simulador;68
cambia;67
copiar;67
palabras;67
simulación;67
begin;66
donde;66
encuentra;66
fuente;66
giro;66
hace;66
operacional;66
siempre;66
croquis;65
iframe;65
instrucciones;65
internet;65
letras;65
suma;65
true;65
contenidos;64
noson;64
cable;63
comunicaciones;63
consiste;63
abrimos;62
almacen;62
cadena;62
caracteres;62
comprobar;62
correctamente;62
estructuras;62
papel;62
pequeño;62
protoboard;62
ruido;62
teclado;62
trabajo;62
alta;61
aumenta;61
contrario;61
controlador;61
mismo;61
otras;61
puerto;61
señales;61
windows;61
google;60
online;60
plantilla;60
println;60
representa;60
tipos;60
cfrac;59
fabricar;59
interruptor;59
mensaje;59
nota;59
notas;59
panel;59
while;59
aplicaciones;58
comienzo;58
impress;58
inferior;58
muestra;58
orden;58
pulsando;58
abrir;57
argumento;57
binario;57
etiqueta;57
fichero;57
gran;57
lenguaje;57
libreoffice;57
muchos;57
nodos;57
parámetros;57
práctica;57
schools;57
acción;56
arriba;56
cables;56
mundo;56
return;56
ventana;56
capacidad;55
digitales;55
estructura;55
fórmula;55
milisegundos;55
radio;55
sirve;55
utilizado;55
años;54
conectado;54
encenderá;54
ohmios;54
sistemas;54
sola;54
aplicación;53
aunque;53
conector;53
cuadrado;53
cuatro;53
else;53
facilidad;53
interior;53
listas;53
metales;53
mueve;53
opción;53
real;53
vista;53
conectores;52
continuar;52
cuenta;52
diferencia;52
distance;52
equivalente;52
mayoría;52
medir;52
only;52
permiten;52
sección;52
terminar;52
abierto;51
circuits;51
configuración;51
eléctricos;51
estándar;51
hoja;51
hora;51
problemas;51
studio;51
válvulas;51
almacenar;50
cableado;50
comenzar;50
dato;50
problema;50
símbolos;50
apaga;49
basado;49
blanco;49
común;49
existen;49
procesador;49
proporcional;49
wordpress;49
agua;48
antes;48
baja;48
class;48
constante;48
dispwrite;48
espacio;48
input;48
mecánica;48
negativa;48
operaciones;48
peso;48
tenga;48
algunos;47
añade;47
centro;47
emisor;47
encontrar;47
estilo;47
func;47
horizontal;47
integral;47
maxdepth;47
pegar;47
quincena;47
sencillo;47
startcircuit;47
toctree;47
ultrasonidos;47
zumbador;47
abajo;46
altura;46
apagado;46
aparecerá;46
diseño;46
llega;46
total;46
buscar;45
colector;45
cualquier;45
dado;45
disfraz;45
grados;45
http;45
mejor;45
plásticos;45
produce;45
servomotor;45
tangram;45
terminado;45
unidades;45
cálculo;44
edad;44
electricidad;44
estar;44
esté;44
grandes;44
imprima;44
izquierdo;44
lazo;44
probar;44
protocolo;44
rango;44
secuencia;44
suele;44
cdot;43
debemos;43
evitar;43
false;43
positiva;43
realiza;43
referencia;43
seguridad;43
sentencia;43
shield;43
significa;43
bucle;42
diseñar;42
esperar;42
lang;42
